title,regions,severity,time,expires,description,uri,latitude,longitude
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,46.9994,-122.3921
Winter Weather Advisory,['East Slopes of the Washington Cascades'],advisory,1579122000,1579197600,"...WINTER WEATHER ADVISORY IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations of 5 to 10 inches. Winds gusting 20 to 40 mph. * WHERE...In Washington, East Slopes of the Cascades. In Oregon, East Slopes of the Cascades. * WHEN...From 1 PM this afternoon to 10 AM PST Thursday. * IMPACTS...Travel could be very difficult. Increasing winds will cause blowing and drifting snow late today and tonight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFAE88.WinterWeatherAdvisory.125F34BFD420WA.PDTWSWPDT.3a7924d88ec8b4eb68f9eec8bff7077c,47.2507,-121.0989
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,48.0639,-122.092
Winter Storm Warning,"['Eastern Strait of Juan de Fuca', 'North Coast', 'Western Strait of Juan De Fuca']",warning,1579095660,1579132800,"...WINTER STORM WARNING REMAINS IN EFFECT UNTIL 4 PM PST THIS AFTERNOON... * WHAT...Heavy snow has ended this morning. Next round arrives late this morning into the afternoon hours. Additional snow accumulations of 1 to 5 inches are expected with locally higher amounts possible. * WHERE...Eastern Strait of Juan de Fuca lowlands, including Port Angeles, Sequim, and Blyn, Western Strait of Juan de Fuca lowlands, including Sekiu, Clallam Bay, and Joyce and North coast, including Neah Bay, Forks, and Queets. * WHEN...Until 4 PM PST this afternoon. * IMPACTS...Travel, including the morning commute, could be very difficult given heavy snow that fell overnight.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterStormWarning.125F34BD1500WA.SEWWSWSEW.5876378951093059506fadcd596fa07c,48.1229,-123.0911
Wind Advisory,['Eastern Strait of Juan de Fuca'],advisory,1579122000,1579154400,"...WIND ADVISORY IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...Southeast winds 25 to 35 mph with gusts up to 50 mph expected. * WHERE...Eastern Strait of Juan de Fuca. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Gusty winds could blow around unsecured objects. Tree limbs could be blown down and a few power outages may result.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.WindAdvisory.125F34BDFF60WA.SEWNPWSEW.514937ff427b7a9aba71f958848d4740,48.1229,-123.0911
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.942,-121.9924
Winter Weather Advisory,['West Slopes North Central Cascades and Passes'],advisory,1579122000,1579183200,"...WINTER WEATHER ADVISORY REMAINS IN EFFECT FROM 1 PM THIS AFTERNOON TO 6 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations of up to 6 inches. Winds gusting as high as 45 mph. * WHERE...Cascade mountains and valleys of Snohomish and King Counties, including Darrington, Index, Skykomish, Stevens Pass, and Snoqualmie Pass. * WHEN...From 1 PM this afternoon to 6 AM PST Thursday. * IMPACTS...Plan on slippery road conditions. Combination of heavy, wet snow and gusty winds could bring down trees and power lines.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterWeatherAdvisory.125F34BF37E0WA.SEWWSWSEW.c75604076bb1704e867b5c3464b8e430,47.942,-121.9924
Winter Storm Warning,"['Northeast Mountains', 'Okanogan Highlands']",warning,1579132800,1579204800,"...ANOTHER WINTER STORM TO BRING HEAVY SNOW TO THE NORTHERN VALLEYS AND MOUNTAINS LATE TODAY INTO THURSDAY MORNING... .Cold wind chills as low as 15 degrees below zero will continue down the Okanogan Valley this morning. A strong storm arrives today with snow beginning early afternoon in the Cascades before spreading east into the late afternoon and evening. ...WINTER STORM WARNING IN EFFECT FROM 4 PM THIS AFTERNOON TO NOON PST THURSDAY... * WHAT...Heavy snow expected. Total snow accumulations of 4 to 6 inches in the valleys and 6 to 12 inches in the mountains. * WHERE...Colville, Northport, Deer Park, Chewelah, Newport, Kettle Falls, Springdale-Hunters Road, Orin-Rice Road, Flowery Trail Road, Republic, Inchelium, Wauconda, Chesaw Road, Highway 20 Wauconda Summit, Boulder Creek Road, and Sherman Pass. * WHEN...From 4 PM this afternoon to noon PST Thursday. * IMPACTS...Travel could be very difficult. Patchy blowing snow could significantly reduce visibility. The hazardous conditions could impact the morning or evening commute.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF6770.WinterStormWarning.125F34C02240WA.OTXWSWOTX.155ac8641ccead0cbb188b47ce0b58ba,48.7311,-118.6663
High Wind Warning,['East Puget Sound Lowlands'],warning,1579122000,1579154400,"...HIGH WIND WARNING IN EFFECT FROM 1 PM THIS AFTERNOON TO 10 PM PST THIS EVENING... * WHAT...East to southeast winds 30 to 40 mph with gusts of 55 to 60 mph expected. * WHERE...East Puget Sound Lowlands. * WHEN...From 1 PM this afternoon to 10 PM PST this evening. * IMPACTS...Damaging winds combined with the heavy wet snow will blow down trees and power lines. Power outages are likely. Travel will be difficult, especially for high profile vehicles.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AF8458.HighWindWarning.125F34BDFF60WA.SEWNPWSEW.08f84a158c0ca7b009f1581be3e39c7b,47.9038,-121.9861
Winter Weather Advisory,['West Slopes North Central Cascades and Passes'],advisory,1579122000,1579183200,"...WINTER WEATHER ADVISORY REMAINS IN EFFECT FROM 1 PM THIS AFTERNOON TO 6 AM PST THURSDAY... * WHAT...Snow expected. Total snow accumulations of up to 6 inches. Winds gusting as high as 45 mph. * WHERE...Cascade mountains and valleys of Snohomish and King Counties, including Darrington, Index, Skykomish, Stevens Pass, and Snoqualmie Pass. * WHEN...From 1 PM this afternoon to 6 AM PST Thursday. * IMPACTS...Plan on slippery road conditions. Combination of heavy, wet snow and gusty winds could bring down trees and power lines.
",https://alerts.weather.gov/cap/wwacapget.php?x=WA125F34AFDE94.WinterWeatherAdvisory.125F34BF37E0WA.SEWWSWSEW.c75604076bb1704e867b5c3464b8e430,47.9038,-121.9861
