,geohash,latitude,longitude,time,icon,precipType,summary
0,c22gqguz375t,46.9994,-122.3921,2020-01-20 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
1,c22gqguz375t,46.9994,-122.3921,2020-01-21 00:00:00-08:00,rain,rain,Rain throughout the day.
2,c22gqguz375t,46.9994,-122.3921,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c22gqguz375t,46.9994,-122.3921,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c22gqguz375t,46.9994,-122.3921,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c22gqguz375t,46.9994,-122.3921,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c22gqguz375t,46.9994,-122.3921,2020-01-26 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
7,c22gqguz375t,46.9994,-122.3921,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c23uu3drr0gk,47.2507,-121.0989,2020-01-20 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
1,c23uu3drr0gk,47.2507,-121.0989,2020-01-21 00:00:00-08:00,snow,snow,Snow throughout the day.
2,c23uu3drr0gk,47.2507,-121.0989,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c23uu3drr0gk,47.2507,-121.0989,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c23uu3drr0gk,47.2507,-121.0989,2020-01-24 00:00:00-08:00,rain,rain,Possible light rain throughout the day.
5,c23uu3drr0gk,47.2507,-121.0989,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c23uu3drr0gk,47.2507,-121.0989,2020-01-26 00:00:00-08:00,fog,snow,Foggy in the afternoon.
7,c23uu3drr0gk,47.2507,-121.0989,2020-01-27 00:00:00-08:00,snow,snow,Light snow starting in the afternoon.
0,c2kj57xfmmz5,47.3048,-117.9713,2020-01-20 00:00:00-08:00,cloudy,rain,Overcast throughout the day.
1,c2kj57xfmmz5,47.3048,-117.9713,2020-01-21 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
2,c2kj57xfmmz5,47.3048,-117.9713,2020-01-22 00:00:00-08:00,rain,rain,Possible light rain starting in the afternoon.
3,c2kj57xfmmz5,47.3048,-117.9713,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c2kj57xfmmz5,47.3048,-117.9713,2020-01-24 00:00:00-08:00,rain,rain,Light rain in the morning.
