,geohash,latitude,longitude,time,cloudCover,dewPoint,humidity,ozone,precipAccumulation,precipIntensity,precipProbability,pressure,uvIndex,visibility,windBearing,windGust,windSpeed,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,moonPhase,precipIntensityMax,precipIntensityMaxTime,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,windGustTime
0,c22gqguz375t,46.9994,-122.3921,2020-01-20 00:00:00-08:00,0.85,41.08,0.85,336.7,0.0,0.001,0.41,1013.1,1,9.981,111,7.36,3.37,52.35,2020-01-20 14:20:00-08:00,38.18,2020-01-21 06:07:00-08:00,52.35,2020-01-20 14:20:00-08:00,38.39,2020-01-20 05:46:00-08:00,0.88,0.0038,2020-01-20 06:28:00-08:00,2020-01-20 07:48:00-08:00,2020-01-20 16:55:00-08:00,52.85,2020-01-20 14:20:00-08:00,42.87,2020-01-21 04:07:00-08:00,52.85,2020-01-20 14:20:00-08:00,40.18,2020-01-20 05:01:00-08:00,2020-01-21 00:00:00-08:00
1,c22gqguz375t,46.9994,-122.3921,2020-01-21 00:00:00-08:00,0.93,41.05,0.89,397.7,0.0,0.0293,0.98,1008.2,1,9.177,184,31.82,10.26,41.24,2020-01-21 09:58:00-08:00,37.12,2020-01-21 23:54:00-08:00,41.72,2020-01-21 00:00:00-08:00,37.12,2020-01-21 23:54:00-08:00,0.91,0.1017,2020-01-21 18:55:00-08:00,2020-01-21 07:48:00-08:00,2020-01-21 16:56:00-08:00,46.79,2020-01-21 10:03:00-08:00,40.81,2020-01-22 06:57:00-08:00,46.79,2020-01-21 10:03:00-08:00,42.45,2020-01-22 00:00:00-08:00,2020-01-21 18:50:00-08:00
2,c22gqguz375t,46.9994,-122.3921,2020-01-22 00:00:00-08:00,0.95,43.53,0.97,363.5,0.0,0.0233,0.98,1016.0,1,9.754,170,32.17,7.73,43.11,2020-01-22 19:00:00-08:00,43.11,2020-01-22 19:00:00-08:00,45.34,2020-01-22 22:51:00-08:00,37.12,2020-01-22 00:00:00-08:00,0.94,0.0531,2020-01-22 13:26:00-08:00,2020-01-22 07:47:00-08:00,2020-01-22 16:58:00-08:00,48.05,2020-01-22 19:00:00-08:00,47.06,2020-01-22 19:00:00-08:00,49.97,2020-01-22 22:39:00-08:00,40.81,2020-01-22 06:57:00-08:00,2020-01-23 00:00:00-08:00
3,c22gqguz375t,46.9994,-122.3921,2020-01-23 00:00:00-08:00,1.0,50.01,0.97,369.2,0.0,0.0268,1.0,1014.7,1,9.331,180,34.24,10.39,55.28,2020-01-23 13:01:00-08:00,41.13,2020-01-24 00:18:00-08:00,55.28,2020-01-23 13:01:00-08:00,41.19,2020-01-24 00:00:00-08:00,0.98,0.0673,2020-01-23 22:59:00-08:00,2020-01-23 07:46:00-08:00,2020-01-23 16:59:00-08:00,55.78,2020-01-23 13:01:00-08:00,44.36,2020-01-24 00:41:00-08:00,55.78,2020-01-23 13:01:00-08:00,44.5,2020-01-24 00:00:00-08:00,2020-01-23 09:37:00-08:00
4,c22gqguz375t,46.9994,-122.3921,2020-01-24 00:00:00-08:00,0.99,46.78,1.0,377.7,0.0,0.0245,1.0,1014.2,1,8.413,169,23.62,5.27,46.3,2020-01-24 16:46:00-08:00,42.36,2020-01-25 01:00:00-08:00,46.3,2020-01-24 16:46:00-08:00,41.13,2020-01-24 00:18:00-08:00,0.01,0.0516,2020-01-24 20:01:00-08:00,2020-01-24 07:45:00-08:00,2020-01-24 17:01:00-08:00,48.78,2020-01-24 09:40:00-08:00,44.26,2020-01-25 00:59:00-08:00,48.78,2020-01-24 09:40:00-08:00,44.36,2020-01-24 00:41:00-08:00,2020-01-24 02:37:00-08:00
5,c22gqguz375t,46.9994,-122.3921,2020-01-25 00:00:00-08:00,0.97,47.23,1.0,358.8,0.0,0.0158,0.99,1011.1,1,9.265,174,31.72,5.7,50.38,2020-01-25 13:02:00-08:00,38.83,2020-01-26 08:00:00-08:00,50.38,2020-01-25 13:02:00-08:00,42.18,2020-01-25 22:12:00-08:00,0.04,0.0296,2020-01-25 09:03:00-08:00,2020-01-25 07:44:00-08:00,2020-01-25 17:02:00-08:00,50.9,2020-01-25 13:06:00-08:00,38.34,2020-01-26 08:00:00-08:00,50.9,2020-01-25 13:06:00-08:00,43.6,2020-01-26 00:00:00-08:00,2020-01-25 06:57:00-08:00
6,c22gqguz375t,46.9994,-122.3921,2020-01-26 00:00:00-08:00,0.6,43.15,0.99,371.0,0.0,0.0012,0.35,1015.8,1,10.0,155,7.8,2.9,48.73,2020-01-26 13:10:00-08:00,38.01,2020-01-26 23:29:00-08:00,48.73,2020-01-26 13:10:00-08:00,38.01,2020-01-26 23:29:00-08:00,0.07,0.0184,2020-01-26 22:00:00-08:00,2020-01-26 07:43:00-08:00,2020-01-26 17:04:00-08:00,49.23,2020-01-26 13:10:00-08:00,41.07,2020-01-26 22:00:00-08:00,49.23,2020-01-26 13:10:00-08:00,38.33,2020-01-26 08:05:00-08:00,2020-01-26 23:10:00-08:00
7,c22gqguz375t,46.9994,-122.3921,2020-01-27 00:00:00-08:00,0.71,44.4,1.0,368.6,0.0,0.0112,0.91,1019.1,1,9.795,169,29.55,6.05,43.79,2020-01-27 17:04:00-08:00,39.0,2020-01-28 06:01:00-08:00,43.79,2020-01-27 17:04:00-08:00,38.12,2020-01-27 00:00:00-08:00,0.1,0.0539,2020-01-27 21:59:00-08:00,2020-01-27 07:42:00-08:00,2020-01-27 17:05:00-08:00,47.86,2020-01-27 13:03:00-08:00,41.76,2020-01-28 05:57:00-08:00,47.86,2020-01-27 13:03:00-08:00,41.81,2020-01-27 01:59:00-08:00,2020-01-27 10:16:00-08:00
0,c23uu3drr0gk,47.2507,-121.0989,2020-01-20 00:00:00-08:00,0.92,30.21,0.85,328.9,0.0,0.0007,0.16,1017.1,1,8.336,104,13.2,4.97,37.35,2020-01-20 14:03:00-08:00,24.76,2020-01-21 06:43:00-08:00,37.35,2020-01-20 14:03:00-08:00,26.06,2020-01-20 01:05:00-08:00,0.88,0.0035,2020-01-20 06:00:00-08:00,2020-01-20 07:44:00-08:00,2020-01-20 16:49:00-08:00,40.8,2020-01-20 14:11:00-08:00,30.02,2020-01-21 08:00:00-08:00,40.8,2020-01-20 14:11:00-08:00,30.45,2020-01-20 07:12:00-08:00,2020-01-20 16:07:00-08:00
1,c23uu3drr0gk,47.2507,-121.0989,2020-01-21 00:00:00-08:00,0.96,30.92,0.91,396.6,3.17,0.0287,0.76,1010.4,1,3.456,154,28.35,5.09,35.96,2020-01-21 14:03:00-08:00,24.23,2020-01-22 03:57:00-08:00,35.96,2020-01-21 14:03:00-08:00,24.76,2020-01-21 06:43:00-08:00,0.91,0.1047,2020-01-21 18:59:00-08:00,2020-01-21 07:43:00-08:00,2020-01-21 16:50:00-08:00,38.71,2020-01-21 14:21:00-08:00,29.85,2020-01-22 07:41:00-08:00,38.71,2020-01-21 14:21:00-08:00,29.82,2020-01-21 08:47:00-08:00,2020-01-22 00:00:00-08:00
